instrument,timeframe,date_analysis,direction,wave_current,wave_next,wave_degree,pattern,confirmation_level,invalidation_level,fib_target_1,fib_target_2,fib_618,fib_382,fib_786,scenario,has_alternative,current_price_approx,notes,page,source_file,result,exit_price,candles_elapsed,symbol_td,sl_pips,rr_ratio,fib_50,fib_500,profit_target_pips,target_price,invalidation_level_78.60,invalidation_level_61.80,fib_618_full,price_target,target_percentage,fib_ratios,direction_option2,direction_option3,scenario_option2,scenario_option3,option2_key_level,option2_constraint,option3_risk,date_target
AUD/USD,3D,2026-02-02,buy,(ii),(iii),intermediate,impulse,0.685,0.59128,0.80017,0.84,,,0.60406,main,False,0.64218,"Wave 2 correction complete at (Y), starting wave 3 impulse. Key level at 0.64218, 78.6% retracement at 0.60406. Wave structure: 1-2 with subwaves (i)-(ii) forming within wave 3",1,02-02-26.pdf,win,0.70582,45.0,C:AUDUSD,937.2,1.23,,,,,,,,,,,,,,,,,,
AUD/USD,8h,2026-02-02,buy,4,5,intermediate,impulse,0.68331,0.66669,0.7003,0.72167,,,,main,False,0.69,First goal achieved at 100% (0.70030). Recommend taking partial profit. Moving stop higher to 0.68331. Next target 161.8% at 0.72167. Currently in wave (3) with subwave 4 completing.,2,02-02-26.pdf,win,0.70582,45.0,C:AUDUSD,166.2,1.02,,,,,,,,,,,,,,,,,,
EUR/USD,2D,2026-02-02,buy,4,5,primary,triangle,,,1.21077,,,,,main,False,1.21077,"Wave 4 triangle (A-B-C-D-E) completing within wave (C), wave 5 projected to complete at highs around 1.22",3,02-02-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
EUR/USD,8h,2026-02-02,buy,4,5,primary,impulse,1.1768,1.15761,1.21077,1.22,,,,main,False,1.21077,"Wave (C) of larger degree in progress, currently in wave 4 correction after wave 3 peak, expecting wave 5 to complete at higher levels around 1.2150-1.2200",4,02-02-26.pdf,loss,1.15761,26.0,C:EURUSD,191.9,1.77,,,,,,,,,,,,,,,,,,
GBP/USD,8h,2026-02-02,buy,4,5,intermediate,impulse,1.35693,1.30366,1.405,,,,,main,False,1.35693,"Wave (5) of larger degree in progress, sub-wave 4 completing, stop moved higher to 1.35693 invalidation level",5,02-02-26.pdf,pending,,45.0,C:GBPUSD,532.7,0.9,,,,,,,,,,,,,,,,,,
USD/CAD,1D,2026-02-02,sell,Y,,primary,WXY double zigzag,,1.47894,1.33722,1.30377,1.30377,,,main,False,1.39,"Completed 5-wave impulse down (1-2-3-4-5), followed by WXY corrective structure. Price projecting down to 50% (1.33722) and 61.8% (1.30377) Fibonacci levels",6,02-02-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CAD,8h,2026-02-02,sell,(4),(5),intermediate,impulse,1.37392,1.39284,1.33722,,,,,main,False,1.39,"Wave (4) correction completing, expecting wave (5) down to 50% Fib at 1.33722. Two invalidation levels marked at 1.39284 and 1.37392",7,02-02-26.pdf,pending,,45.0,C:USDCAD,189.2,1.94,,,,,,,,,,,,,,,,,,
USD/CHF,2D,2026-02-02,sell,E,(C),primary,triangle,,,0.714,0.704,,,,main,False,0.7765,Big triangle pattern (A)-(B)-(C) with smaller triangle pattern forming at wave E. Expecting bearish wave (C) targeting 0.71-0.70 area,8,02-02-26.pdf,no_symbol_or_data,,,,,,,,,,,,,,,,,,,,,,,
USD/CHF,8H,2026-02-02,sell,e,(C),primary,triangle,0.77857,0.80414,0.715,,,,,main,False,0.77857,We have perfectly achieved our first goal. I recommend taking some of the profit. We will continue to hold the rest of the position until the next goal.,9,02-02-26.pdf,pending,,45.0,C:USDCHF,255.7,2.49,,,,,,,,,,,,,,,,,,
USD/JPY,2D,2026-02-02,sell,(B),(C),primary,zigzag,156.0,162.0,140.0,,,,,main,False,155.0,"ABC correction after 5-wave impulse complete at (5). Wave (B) completing as ABC flat, expecting (C) wave down to ~140.000",10,02-02-26.pdf,pending,,45.0,C:USDJPY,600.0,2.67,,,,,,,,,,,,,,,,,,
